ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6468,Facundo,Campazzo,PG,DEN,UTA,UTA@DEN,10:00PM EST,16,18.9," "," "
nba.p.6568,Bones,Hyland,PG,DEN,UTA,UTA@DEN,10:00PM EST,10,14.6," "," "
nba.p.6337,Rayjon,Tucker,SF,DEN,UTA,UTA@DEN,10:00PM EST,10,7.0," "," "
nba.p.6639,Carlik,Jones,PG,DEN,UTA,UTA@DEN,10:00PM EST,10,3.0," "," "
nba.p.4469,Eric,Gordon,SF,HOU,WAS,HOU@WAS,7:00PM EST,15,22.8," "," "
nba.p.4471,D.J.,Augustin,PG,HOU,WAS,HOU@WAS,7:00PM EST,10,9.8," "," "
nba.p.4716,John,Wall,PG,HOU,WAS,HOU@WAS,7:00PM EST,10,36.7,O," "
nba.p.5583,Christian,Wood,C,HOU,WAS,HOU@WAS,7:00PM EST,26,35.2," "," "
nba.p.5762,David,Nwaba,SF,HOU,WAS,HOU@WAS,7:00PM EST,10,14.3," "," "
nba.p.5880,Daniel,Theis,PF,HOU,WAS,HOU@WAS,7:00PM EST,12,18.0," "," "
nba.p.6218,Kevin,Porter Jr.,PG,HOU,WAS,HOU@WAS,7:00PM EST,23,27.6," "," "
nba.p.6259,Garrison,Mathews,SF,HOU,WAS,HOU@WAS,7:00PM EST,10,20.6," "," "
nba.p.6285,Armoni,Brooks,SG,HOU,WAS,HOU@WAS,7:00PM EST,10,13.8,INJ," "
nba.p.6444,KJ,Martin,PF,HOU,WAS,HOU@WAS,7:00PM EST,11,16.5," "," "
nba.p.6463,Jae'Sean,Tate,PF,HOU,WAS,HOU@WAS,7:00PM EST,20,26.7," "," "
nba.p.6500,Trevelin,Queen,SG,HOU,WAS,HOU@WAS,7:00PM EST,11,8.9," "," "
nba.p.6513,Jalen,Green,SG,HOU,WAS,HOU@WAS,7:00PM EST,17,22.2," "," "
nba.p.6558,Alperen,Sengun,C,HOU,WAS,HOU@WAS,7:00PM EST,14,21.9,INJ," "
nba.p.6565,Usman,Garuba,PF,HOU,WAS,HOU@WAS,7:00PM EST,10,7.0,INJ," "
nba.p.6566,Josh,Christopher,SG,HOU,WAS,HOU@WAS,7:00PM EST,10,12.4," "," "
nba.p.6621,DeJon,Jarreau,SG,HOU,WAS,HOU@WAS,7:00PM EST,10,0.0,INJ," "
nba.p.6626,Daishen,Nix,SG,HOU,WAS,HOU@WAS,7:00PM EST,10,9.2," "," "
nba.p.4926,Davis,Bertans,PF,WAS,HOU,HOU@WAS,7:00PM EST,10,10.9," "," "
nba.p.4969,Brad,Wanamaker,PG,WAS,HOU,HOU@WAS,7:00PM EST,10,9.9,INJ," "
nba.p.5009,Bradley,Beal,SG,WAS,HOU,HOU@WAS,7:00PM EST,43,39.5," "," "
nba.p.5159,Kentavious,Caldwell-Pope,SF,WAS,HOU,HOU@WAS,7:00PM EST,13,21.2," "," "
nba.p.5217,Raul,Neto,PG,WAS,HOU,HOU@WAS,7:00PM EST,10,15.4," "," "
nba.p.5349,Spencer,Dinwiddie,PG,WAS,HOU,HOU@WAS,7:00PM EST,23,27.6,INJ," "
nba.p.5492,Montrezl,Harrell,C,WAS,HOU,HOU@WAS,7:00PM EST,18,28.8,INJ," "
nba.p.5840,Kyle,Kuzma,PF,WAS,HOU,HOU@WAS,7:00PM EST,29,30.8," "," "
nba.p.5855,Thomas,Bryant,C,WAS,HOU,HOU@WAS,7:00PM EST,10,26.4,INJ," "
nba.p.6034,Aaron,Holiday,SG,WAS,HOU,HOU@WAS,7:00PM EST,10,12.5,INJ," "
nba.p.6061,Alize,Johnson,PF,WAS,HOU,HOU@WAS,7:00PM EST,10,5.2," "," "
nba.p.6171,Rui,Hachimura,PF,WAS,HOU,HOU@WAS,7:00PM EST,10,24.1,INJ," "
nba.p.6226,Daniel,Gafford,C,WAS,HOU,HOU@WAS,7:00PM EST,23,25.2," "," "
nba.p.6401,Deni,Avdija,SF,WAS,HOU,HOU@WAS,7:00PM EST,14,19.6," "," "
nba.p.6445,Cassius,Winston,PG,WAS,HOU,HOU@WAS,7:00PM EST,10,2.0," "," "
nba.p.6471,Anthony,Gill,SF,WAS,HOU,HOU@WAS,7:00PM EST,10,6.1,INJ," "
nba.p.6557,Corey,Kispert,SG,WAS,HOU,HOU@WAS,7:00PM EST,10,9.7," "," "
nba.p.6573,Isaiah,Todd,PF,WAS,HOU,HOU@WAS,7:00PM EST,10,4.4," "," "
nba.p.6605,Joel,Ayayi,SG,WAS,HOU,HOU@WAS,7:00PM EST,10,1.7," "," "
nba.p.6616,Jordan,Goodwin,PG,WAS,HOU,HOU@WAS,7:00PM EST,10,0.6," "," "
nba.p.6681,Craig,Sword,PG,WAS,HOU,HOU@WAS,7:00PM EST,10,9.2," "," "
nba.p.6615,Jaime,Echenique,C,WAS,HOU,HOU@WAS,7:00PM EST,10,0.0," "," "
nba.p.6239,Tremont,Waters,PG,WAS,HOU,HOU@WAS,7:00PM EST,10,12.1,INJ," "
nba.p.4130,LaMarcus,Aldridge,C,BKN,IND,BKN@IND,7:30PM EST,20,25.9,GTD," "
nba.p.4175,Paul,Millsap,C,BKN,IND,BKN@IND,7:30PM EST,10,10.2," "," "
nba.p.4244,Kevin,Durant,PF,BKN,IND,BKN@IND,7:30PM EST,52,49.0," "," "
nba.p.4561,Blake,Griffin,C,BKN,IND,BKN@IND,7:30PM EST,10,17.6," "," "
nba.p.4563,James,Harden,PG,BKN,IND,BKN@IND,7:30PM EST,52,48.6," "," "
nba.p.4621,James,Johnson,PF,BKN,IND,BKN@IND,7:30PM EST,10,14.5," "," "
nba.p.4660,Patty,Mills,SG,BKN,IND,BKN@IND,7:30PM EST,14,21.4," "," "
nba.p.4840,Kyrie,Irving,SG,BKN,IND,BKN@IND,7:30PM EST,22,44.4," "," "
nba.p.5344,Joe,Harris,SG,BKN,IND,BKN@IND,7:30PM EST,12,18.6,INJ," "
nba.p.5388,Langston,Galloway,SG,BKN,IND,BKN@IND,7:30PM EST,10,6.0," "," "
nba.p.5652,DeAndre',Bembry,SF,BKN,IND,BKN@IND,7:30PM EST,10,15.7," "," "
nba.p.5746,Shaquille,Harrison,PG,BKN,IND,BKN@IND,7:30PM EST,10,8.6," "," "
nba.p.6043,Jevon,Carter,PG,BKN,IND,BKN@IND,7:30PM EST,10,7.3," "," "
nba.p.6053,Bruce,Brown,SF,BKN,IND,BKN@IND,7:30PM EST,13,18.9," "," "
nba.p.6219,Nicolas,Claxton,C,BKN,IND,BKN@IND,7:30PM EST,18,21.1," "," "
nba.p.6569,Cameron,Thomas,SG,BKN,IND,BKN@IND,7:30PM EST,10,11.4," "," "
nba.p.6571,Day'Ron,Sharpe,PF,BKN,IND,BKN@IND,7:30PM EST,10,7.6," "," "
nba.p.6586,Kessler,Edwards,SF,BKN,IND,BKN@IND,7:30PM EST,10,18.8," "," "
nba.p.6624,David,Duke Jr.,SG,BKN,IND,BKN@IND,7:30PM EST,10,20.1," "," "
nba.p.5018,Jeremy,Lamb,SF,IND,BKN,BKN@IND,7:30PM EST,10,13.9,INJ," "
nba.p.5142,Justin,Holiday,SF,IND,BKN,BKN@IND,7:30PM EST,14,18.0," "," "
nba.p.5325,T.J.,Warren,SF,IND,BKN,BKN@IND,7:30PM EST,10,22.1,INJ," "
nba.p.5471,Myles,Turner,C,IND,BKN,BKN@IND,7:30PM EST,24,32.9," "," "
nba.p.5576,Keifer,Sykes,PG,IND,BKN,BKN@IND,7:30PM EST,10,10.2," "," "
nba.p.5582,T.J.,McConnell,PG,IND,BKN,BKN@IND,7:30PM EST,10,22.6,INJ," "
nba.p.5642,Domantas,Sabonis,PF,IND,BKN,BKN@IND,7:30PM EST,39,40.9," "," "
nba.p.5651,Caris,LeVert,SG,IND,BKN,BKN@IND,7:30PM EST,30,30.7,INJ," "
nba.p.5667,Malcolm,Brogdon,PG,IND,BKN,BKN@IND,7:30PM EST,30,36.2,INJ," "
nba.p.5893,Torrey,Craig,SF,IND,BKN,BKN@IND,7:30PM EST,10,12.0," "," "
nba.p.6206,Goga,Bitadze,C,IND,BKN,BKN@IND,7:30PM EST,10,8.2,INJ," "
nba.p.6281,Kelan,Martin,PF,IND,BKN,BKN@IND,7:30PM EST,10,11.7,INJ," "
nba.p.6290,Oshae,Brissett,PF,IND,BKN,BKN@IND,7:30PM EST,10,13.5," "," "
nba.p.6555,Chris,Duarte,SG,IND,BKN,BKN@IND,7:30PM EST,14,22.9,INJ," "
nba.p.6564,Isaiah,Jackson,PF,IND,BKN,BKN@IND,7:30PM EST,10,5.1,INJ," "
nba.p.6607,Duane,Washington Jr.,PG,IND,BKN,BKN@IND,7:30PM EST,12,10.4," "," "
nba.p.6609,Terry,Taylor,SG,IND,BKN,BKN@IND,7:30PM EST,10,0.0," "," "
nba.p.6472,Nate,Hinton,SG,IND,BKN,BKN@IND,7:30PM EST,10,-1.0," "," "
nba.p.6501,Ahmad,Caver,SG,IND,BKN,BKN@IND,7:30PM EST,10,0.0," "," "
nba.p.4771,Lance,Stephenson,SF,IND,BKN,BKN@IND,7:30PM EST,10,7.6," "," "
nba.p.5481,Justin,Anderson,SF,IND,BKN,BKN@IND,7:30PM EST,10,8.2," "," "
nba.p.3971,Lou,Williams,SG,ATL,SAC,ATL@SAC,10:00PM EST,10,11.8," "," "
nba.p.4468,Danilo,Gallinari,PF,ATL,SAC,ATL@SAC,10:00PM EST,14,18.3," "," "
nba.p.5191,Gorgui,Dieng,C,ATL,SAC,ATL@SAC,10:00PM EST,10,10.3,INJ," "
nba.p.5193,Solomon,Hill,PF,ATL,SAC,ATL@SAC,10:00PM EST,10,5.4,INJ," "
nba.p.5336,Clint,Capela,C,ATL,SAC,ATL@SAC,10:00PM EST,32,36.2," "," "
nba.p.5338,Bogdan,Bogdanovic,SG,ATL,SAC,ATL@SAC,10:00PM EST,14,21.4,INJ," "
nba.p.5480,Delon,Wright,PG,ATL,SAC,ATL@SAC,10:00PM EST,14,13.3," "," "
nba.p.5655,Timothe,Luwawu-Cabarrot,SF,ATL,SAC,ATL@SAC,10:00PM EST,10,8.1," "," "
nba.p.5713,Cat,Barber,PG,ATL,SAC,ATL@SAC,10:00PM EST,10,2.4," "," "
nba.p.5832,John,Collins,PF,ATL,SAC,ATL@SAC,10:00PM EST,30,34.8,INJ," "
nba.p.5895,Cameron,Oliver,SF,ATL,SAC,ATL@SAC,10:00PM EST,10,20.4," "," "
nba.p.6016,Trae,Young,PG,ATL,SAC,ATL@SAC,10:00PM EST,47,46.5,GTD," "
nba.p.6030,Kevin,Huerter,SF,ATL,SAC,ATL@SAC,10:00PM EST,14,19.3," "," "
nba.p.6166,De'Andre,Hunter,SF,ATL,SAC,ATL@SAC,10:00PM EST,10,16.8,INJ," "
nba.p.6172,Cam,Reddish,SF,ATL,SAC,ATL@SAC,10:00PM EST,16,20.1,GTD," "
nba.p.6312,Chris,Clemons,PG,ATL,SAC,ATL@SAC,10:00PM EST,10,0.0," "," "
nba.p.6398,Onyeka,Okongwu,C,ATL,SAC,ATL@SAC,10:00PM EST,12,23.5," "," "
nba.p.6442,Skylar,Mays,SG,ATL,SAC,ATL@SAC,10:00PM EST,10,9.8," "," "
nba.p.6562,Jalen,Johnson,PF,ATL,SAC,ATL@SAC,10:00PM EST,10,3.7,INJ," "
nba.p.6590,Sharife,Cooper,PG,ATL,SAC,ATL@SAC,10:00PM EST,10,1.4," "," "
nba.p.6627,Chaundee,Brown Jr.,SF,ATL,SAC,ATL@SAC,10:00PM EST,10,12.2," "," "
nba.p.6660,Malcolm,Hill,SG,ATL,SAC,ATL@SAC,10:00PM EST,10,13.6,INJ," "
nba.p.6677,Malik,Ellison,SF,ATL,SAC,ATL@SAC,10:00PM EST,10,0.0,INJ," "
nba.p.6682,Justin,Tillman,PF,ATL,SAC,ATL@SAC,10:00PM EST,10,0.0," "," "
