ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4163,P.J.,Tucker,PF,MIA,GS,MIA@GS,10:00PM EST,14,19.8,INJ," "
nba.p.4894,Markieff,Morris,PF,MIA,GS,MIA@GS,10:00PM EST,10,13.2,INJ," "
nba.p.4912,Jimmy,Butler,SF,MIA,GS,MIA@GS,10:00PM EST,46,43.9," "," "
nba.p.5153,Victor,Oladipo,PG,MIA,GS,MIA@GS,10:00PM EST,10,35.5,INJ," "
nba.p.5256,Dewayne,Dedmon,C,MIA,GS,MIA@GS,10:00PM EST,16,16.7,INJ," "
nba.p.5827,Bam,Adebayo,C,MIA,GS,MIA@GS,10:00PM EST,34,37.1,INJ," "
nba.p.6073,Duncan,Robinson,SG,MIA,GS,MIA@GS,10:00PM EST,12,20.0,INJ," "
nba.p.6175,Tyler,Herro,SG,MIA,GS,MIA@GS,10:00PM EST,26,31.4," "," "
nba.p.6220,KZ,Okpala,PF,MIA,GS,MIA@GS,10:00PM EST,10,8.3,INJ," "
nba.p.6266,Zylan,Cheatham,SF,MIA,GS,MIA@GS,10:00PM EST,10,0.0,INJ," "
nba.p.6267,Max,Strus,SF,MIA,GS,MIA@GS,10:00PM EST,16,17.4,INJ," "
nba.p.6275,Caleb,Martin,SG,MIA,GS,MIA@GS,10:00PM EST,13,17.9," "," "
nba.p.6353,Gabe,Vincent,PG,MIA,GS,MIA@GS,10:00PM EST,16,17.2,INJ," "
nba.p.6511,Omer,Yurtseven,C,MIA,GS,MIA@GS,10:00PM EST,20,14.5," "," "
nba.p.6634,Marcus,Garrett,SG,MIA,GS,MIA@GS,10:00PM EST,10,6.1," "," "
nba.p.3826,Andre,Iguodala,SF,GS,MIA,MIA@GS,10:00PM EST,11,18.5," "," "
nba.p.4612,Stephen,Curry,PG,GS,MIA,MIA@GS,10:00PM EST,44,45.5," "," "
nba.p.4766,Nemanja,Bjelica,PF,GS,MIA,MIA@GS,10:00PM EST,10,15.3," "," "
